B,S,p,nu,Q,aQB,mAQ
1000,50,3,1,3,703001,32742
1000,50,3,2,9,234999,10830
1000,50,3,3,27,78999,3526
1000,50,3,4,81,27004,1091
1000,50,3,5,243,9652,278
1000,50,3,6,729,3919,0
1000,50,3,7,2187,2000,-100
1000,50,5,1,5,422200,19595
1000,50,5,2,25,85240,3819
1000,50,5,3,125,17848,659
1000,50,5,4,625,4462,50
1000,50,5,5,3125,2000,-100
1000,50,7,1,7,301857,13960
1000,50,7,2,49,43980,1887
1000,50,7,3,343,7115,121
1000,50,7,4,2401,2000,-100
1000,50,11,1,11,192453,8837
1000,50,11,2,121,18392,682
1000,50,11,3,1331,2661,-100
1000,50,13,1,13,162999,7460
1000,50,13,2,169,13454,458
1000,50,13,3,2197,2000,-100
1000,50,17,1,17,124879,5673
1000,50,17,2,289,8287,216
1000,50,17,3,4913,1194,0
1000,50,19,1,19,111841,5065
1000,50,19,2,361,6767,100
1000,50,23,1,23,92571,4164
1000,50,23,2,529,4922,0
1000,50,29,1,29,73626,3279
1000,50,29,2,841,3485,0
1000,50,31,1,31,68928,3049
1000,50,31,2,961,3145,0
1000,50,37,1,37,57919,2537
1000,50,37,2,1369,2737,-50
1000,50,41,1,41,52360,2276
1000,50,41,2,1681,2425,-50
1000,50,43,1,43,49977,2169
1000,50,43,2,1849,2257,-50
1000,50,47,1,47,45811,1973
1000,50,47,2,2209,2000,-100
1000,50,53,1,53,40727,1732
1000,50,53,2,2809,2000,-100
1000,50,59,1,59,36691,1550
1000,50,59,2,3481,2000,-100
1000,50,61,1,61,35536,1495
1000,50,61,2,3721,2000,-100
1000,50,67,1,67,32425,1347
1000,50,67,2,4489,1618,0
1000,50,71,1,71,30658,1262
1000,50,71,2,5041,1066,0
1000,50,73,1,73,29846,1225
1000,50,73,2,5329,778,0
1000,50,79,1,79,27649,1123
1000,50,83,1,83,26372,1063
1000,50,89,1,89,24649,968
1000,50,97,1,97,22690,877
1000,50,101,1,101,21850,837
1000,50,103,1,103,21430,820
1000,50,107,1,107,20665,788
1000,50,109,1,109,20315,769
1000,50,113,1,113,19631,736
1000,50,127,1,127,17576,644
1000,50,131,1,131,17082,627
1000,50,137,1,137,16357,591
1000,50,139,1,139,16147,577
1000,50,149,1,149,15099,508
1000,50,151,1,151,14971,535
1000,50,157,1,157,14390,497
1000,50,163,1,163,13922,472
1000,50,167,1,167,13610,478
1000,50,173,1,173,13142,412
1000,50,179,1,179,12822,450
1000,50,181,1,181,12690,450
1000,50,191,1,191,12025,395
1000,50,193,1,193,11915,385
1000,50,197,1,197,11665,365
1000,50,199,1,199,11575,386
1000,50,211,1,211,10937,301
1000,50,223,1,223,10482,340
1000,50,227,1,227,10252,297
1000,50,229,1,229,10180,300
1000,50,233,1,233,10036,300
1000,50,239,1,239,9820,294
1000,50,241,1,241,9748,286
1000,50,251,1,251,9388,288
1000,50,257,1,257,9172,222
1000,50,263,1,263,8956,200
1000,50,269,1,269,8820,214
1000,50,271,1,271,8794,229
1000,50,277,1,277,8668,250
1000,50,281,1,281,8556,250
1000,50,283,1,283,8500,250
1000,50,293,1,293,8165,198
1000,50,307,1,307,7871,200
1000,50,311,1,311,7787,200
1000,50,313,1,313,7745,200
1000,50,317,1,317,7647,199
1000,50,331,1,331,7353,200
1000,50,337,1,337,7241,167
1000,50,347,1,347,7031,109
1000,50,349,1,349,6989,103
1000,50,353,1,353,6905,100
1000,50,359,1,359,6779,100
1000,50,367,1,367,6743,115
1000,50,373,1,373,6719,148
1000,50,379,1,379,6633,150
1000,50,383,1,383,6573,150
1000,50,389,1,389,6483,150
1000,50,397,1,397,6363,150
1000,50,401,1,401,6294,143
1000,50,409,1,409,6122,97
1000,50,419,1,419,6022,100
1000,50,421,1,421,6002,100
