B,S,p,nu,Q,aQB,mAQ,term
200,10,3,1,3,28599,1281,30011.890502
200,10,3,2,9,9666,411,10167.656732
200,10,3,3,27,3359,123,3555.109366
200,10,3,4,81,1254,23,1352.391727
200,10,3,5,243,497,-20,567.982553
200,10,3,6,729,400,-20,461.417161
200,10,5,1,5,17240,759,26525.146235
200,10,5,2,25,3608,130,5597.625059
200,10,5,3,125,902,10,1435.618618
200,10,5,4,625,400,-20,675.963923
200,10,7,1,7,12371,535,23031.792524
200,10,7,2,49,1934,54,3658.311080
200,10,7,3,343,483,-10,959.333703
200,10,11,1,11,7946,331,18259.972502
200,10,11,2,121,926,10,2196.472070
200,10,13,1,13,6755,277,16615.741938
200,10,13,2,169,701,0,1798.029500
200,10,17,1,17,5212,203,14191.565640
200,10,17,2,289,537,-10,1549.767699
200,10,19,1,19,4687,185,13255.864284
200,10,19,2,361,465,-10,1398.608515
200,10,23,1,23,3901,143,11783.187263
200,10,23,2,529,400,-20,1316.907571
200,10,29,1,29,3137,108,10199.539069
200,10,29,2,841,386,0,1299.776190
200,10,31,1,31,2956,106,9786.863533
200,10,31,2,961,266,0,913.440596
200,10,37,1,37,2501,80,8742.032267
200,10,41,1,41,2275,65,8206.994267
200,10,43,1,43,2185,65,7973.744245
200,10,47,1,47,2012,60,7515.488119
200,10,53,1,53,1796,40,6971.832600
200,10,59,1,59,1639,40,6519.982373
200,10,61,1,61,1597,40,6400.630607
200,10,67,1,67,1471,37,6029.529216
200,10,71,1,71,1387,20,5827.083392
200,10,73,1,73,1359,20,5744.925192
200,10,79,1,79,1293,30,5518.612638
200,10,83,1,83,1222,20,5311.446411
200,10,89,1,89,1162,20,5126.022734
200,10,97,1,97,1070,20,4803.446527
200,10,101,1,101,1042,14,4744.343891
200,10,103,1,103,1022,4,4718.154110
200,10,107,1,107,982,0,4588.717915
200,10,109,1,109,962,0,4513.076663
200,10,113,1,113,938,0,4434.289774
200,10,127,1,127,890,10,4262.884636
200,10,131,1,131,866,10,4173.168909
200,10,137,1,137,815,-2,4019.624416
200,10,139,1,139,809,0,3991.989412
200,10,149,1,149,779,0,3898.074172
200,10,151,1,151,773,0,3878.357314
200,10,157,1,157,755,0,3817.465583
200,10,163,1,163,737,0,3754.093898
200,10,167,1,167,717,0,3669.601564
200,10,173,1,173,669,0,3447.552077
200,10,179,1,179,647,0,3356.238616
200,10,181,1,181,645,0,3353.030585
200,10,191,1,191,635,0,3335.193627
200,10,193,1,193,633,0,3331.282890
200,10,197,1,197,629,0,3323.135145
200,10,199,1,199,627,0,3318.902125
200,10,211,1,211,593,-20,3280.689036
200,10,223,1,223,557,-20,3119.938112
200,10,227,1,227,545,-20,3065.096760
200,10,229,1,229,539,-20,3037.450600
200,10,233,1,233,527,-20,2981.718034
